Symbol,ebit,capital_employed,cash,roace,years,roace_ex_cash,cash_pct_of_ce,roace_cv,f_score,f_max,f_tested,turnover,tier,roace_pct,roace_ex_cash_pct
TRF,103459000.0,2395710000.0,2385076000.0,0.043185110050882616,4,9.729076546924958,99.55612323695271,0.8110244269578596,2.0,7,7.0,3535239.55,SMALL,4.318511005088261,972.9076546924957
GINNIFILA,538172000.0,2669004000.0,304981000.0,0.20163776449941626,4,0.22765091540987545,11.426771934399499,1.4833366034781996,7.0,7,7.0,4052363.48,SMALL,20.163776449941626,22.765091540987545
JINDALPHOT,2306900000.0,10286988000.0,89000.0,0.22425417430252664,3,0.22425611450058955,0.0008651706408134237,0.4253639173682116,4.0,7,7.0,3879994.55,SMALL,22.425417430252665,22.425611450058955
MAGADSUGAR,1207524000.0,11324822000.0,3044000.0,0.10662631165416993,4,0.10665497945640694,0.02687900966567068,0.26856213036549814,4.0,7,7.0,5682838.375,SMALL,10.662631165416993,10.665497945640693
RUBYMILLS,684425000.0,11145671000.0,695979000.0,0.06140724950521149,4,0.0654971457531954,6.244388516402466,0.09552471267966192,5.0,7,7.0,3519384.39,SMALL,6.1407249505211485,6.54971457531954
OAL,465234000.0,7514255000.0,154786000.0,0.061913523030559914,4,0.06321570211111699,2.059898153576103,0.2721140928599334,4.0,7,7.0,5818084.699999999,SMALL,6.191352303055991,6.321570211111699
BMWVENTLTD,799829000.0,4488707000.0,226359000.0,0.17818694782261352,4,0.18764985871636947,5.042855325598218,0.2148975653412993,5.0,7,7.0,4139299.86,SMALL,17.818694782261353,18.764985871636945
VIKASLIFE,136543000.0,6020143000.0,610695000.0,0.022681022693314762,4,0.02524157732914708,10.144194249206373,,4.0,7,7.0,3252302.115,SMALL,2.268102269331476,2.524157732914708
KABRAEXTRU,36121000.0,4613309000.0,288979000.0,0.007829737830264567,4,0.008352970286726498,6.264028704775683,0.5630290947162491,3.0,7,7.0,4113120.02,SMALL,0.7829737830264567,0.8352970286726498
GANDHITUBE,910702000.0,3252905000.0,131614000.0,0.2799657536878575,4,0.29177093708981316,4.046044996702947,0.07417461269375511,2.3333333333333335,7,6.0,4521569.075,SMALL,27.99657536878575,29.177093708981317
LINC,526864000.0,2847637000.0,210584000.0,0.18501796401718337,4,0.1997927231648359,7.395043680075797,0.15667607440965517,4.666666666666667,7,6.0,4184814.575,SMALL,18.501796401718337,19.97927231648359
TRACXN,-67400000.0,594384000.0,898090000.0,-0.11339470779832567,4,,151.09592452017552,,3.5,7,6.0,4192384.945,SMALL,-11.339470779832567,
BANSWRAS,809249000.0,8239026000.0,47916000.0,0.09822144025276774,4,0.09879601177374006,0.581573598626828,0.5158852167184185,5.0,7,7.0,3286713.33,SMALL,9.822144025276774,9.879601177374006
SUMMITSEC,1367920000.0,98101107000.0,60395000.0,0.013943981284533313,4,0.013952571050279602,0.06156403515405795,0.20897490569454702,5.833333333333333,7,6.0,4688869.800000001,SMALL,1.3943981284533313,1.3952571050279603
VETO,353401000.0,2966589000.0,81010000.0,0.11912705130370267,4,0.12247143467567514,2.7307456476107745,0.0759887706196376,4.0,7,7.0,4889416.6,SMALL,11.912705130370266,12.247143467567515
MALLCOM,487780000.0,3290774000.0,102075000.0,0.14822652664692257,4,0.1529714783364626,3.1018538495806762,0.20248678771426537,5.0,7,7.0,4088913.8499999996,SMALL,14.822652664692257,15.29714783364626
VGL,198315000.0,771266000.0,113606000.0,0.25712918759545994,4,0.3015463917525773,14.72980787432611,3.843192990563044,4.0,7,7.0,5985933.625,SMALL,25.712918759545992,30.15463917525773
GRPLTD,213757000.0,2826183000.0,140373000.0,0.07563452189755582,4,0.07958753597611148,4.966875818020277,0.3663575233803047,4.0,7,7.0,3216097.5999999996,SMALL,7.563452189755582,7.958753597611149
CSLFINANCE,1182324000.0,14850453000.0,926886000.0,0.07961534910753228,4,0.08491530941747902,6.241466169415842,0.15468452242806915,1.1666666666666667,7,6.0,4500136.11,SMALL,7.961534910753228,8.491530941747902
FINKURVE,522731000.0,12126326000.0,1021219000.0,0.04310712082126111,4,0.04707122587832787,8.421503759671314,0.3440879443508588,2.0,7,7.0,3091685.645,SMALL,4.310712082126111,4.707122587832787
ANUHPHR,546937000.0,3543646000.0,541023000.0,0.15434301281787177,4,0.18215307083173612,15.267411022432828,0.20649715172538866,3.5,7,6.0,3393082.58,SMALL,15.434301281787178,18.215307083173613
BIGBLOC,62060000.0,2621088000.0,5860000.0,0.02367719054072202,4,0.023730244552291425,0.2235712803232856,0.7307157731711829,4.0,7,7.0,3867114.09,SMALL,2.367719054072202,2.3730244552291424
IFGLEXPOR,609700000.0,12502200000.0,1235700000.0,0.04876741693461951,4,0.054116185150667906,9.883860440562461,0.27893395903705526,6.0,7,7.0,5802133.96,SMALL,4.876741693461951,5.411618515066791
ATL,1123600000.0,10872200000.0,855400000.0,0.10334614889350821,4,0.11217155179298778,7.867772851860709,0.2265474347387341,5.0,7,7.0,3203897.51,SMALL,10.33461488935082,11.217155179298778
SYSTMTXC,612643000.0,3274332000.0,1590429000.0,0.18710472853699625,4,0.363823213094816,48.5726248895958,0.5184717137981771,3.0,7,7.0,4065836.165,SMALL,18.710472853699624,36.382321309481604
